id,district_id,name,bn_name,lat,lon,url
307,39,Dharmapasha,ধর্মপাশা,24.934632,91.0467111,dharmapasha.sunamganj.gov.bd
308,39,Jamalganj,জামালগঞ্জ,24.9970512,91.232135,jamalganj.sunamganj.gov.bd
309,39,Shalla,শাল্লা,7.46491505,38.56499512460462,shalla.sunamganj.gov.bd
310,39,Derai,দিরাই,34.5863373,72.7853277,derai.sunamganj.gov.bd
311,40,Belabo,বেলাবো,4.9203029,13.290971,belabo.narsingdi.gov.bd
312,40,Monohardi,মনোহরদী,24.1165317,90.6777475,monohardi.narsingdi.gov.bd
313,40,Narsingdi Sadar,নরসিংদী সদর,23.9201435,90.7184538,narsingdisadar.narsingdi.gov.bd
314,40,Palash,পলাশ,52.3033333,29.0338,palash.narsingdi.gov.bd
315,40,Raipura,রায়পুরা,23.9002274,79.9648842,raipura.narsingdi.gov.bd
316,40,Shibpur,শিবপুর,23.8664948,91.0207112,shibpur.narsingdi.gov.bd
317,41,Kaliganj,কালীগঞ্জ,23.71167265,88.28976333184055,kaliganj.gazipur.gov.bd
318,41,Kaliakair,কালিয়াকৈর,23.9163964,90.2115843,kaliakair.gazipur.gov.bd
319,41,Kapasia,কাপাসিয়া,24.1385896,90.6002341,kapasia.gazipur.gov.bd
320,41,Gazipur Sadar,গাজীপুর সদর,23.9999521,90.4197487,sadar.gazipur.gov.bd
321,41,Sreepur,শ্রীপুর,26.86492655,85.78311691735945,sreepur.gazipur.gov.bd
322,42,Shariatpur Sadar,শরিয়তপুর সদর,0.0,0.0,sadar.shariatpur.gov.bd
323,42,Naria,নড়িয়া,54.0034377,20.0631177,naria.shariatpur.gov.bd
324,42,Zajira,জাজিরা,0.0,0.0,zajira.shariatpur.gov.bd
325,42,Gosairhat,গোসাইরহাট,0.0,0.0,gosairhat.shariatpur.gov.bd
326,42,Bhedarganj,ভেদরগঞ্জ,23.1988139,90.447782,bhedarganj.shariatpur.gov.bd
327,42,Damudya,ডামুড্যা,23.1419299,90.44230730763083,damudya.shariatpur.gov.bd
328,43,Araihazar,আড়াইহাজার,23.7926714,90.6531527,araihazar.narayanganj.gov.bd
329,43,Bandar,বন্দর,16.1819393,81.1351299,bandar.narayanganj.gov.bd
330,43,Narayanganj Sadar,নারায়নগঞ্জ সদর,23.61991735,90.50270192289844,narayanganjsadar.narayanganj.gov.bd
331,43,Rupganj,রূপগঞ্জ,23.7927951,90.5298399,rupganj.narayanganj.gov.bd
332,43,Sonargaon,সোনারগাঁ,23.6421599,90.6023361,sonargaon.narayanganj.gov.bd
333,44,Basail,বাসাইল,-27.887641,-59.2816402,basail.tangail.gov.bd
334,44,Bhuapur,ভুয়াপুর,28.6383415,77.32258366870224,bhuapur.tangail.gov.bd
335,44,Delduar,দেলদুয়ার,24.169158,89.9683401,delduar.tangail.gov.bd
336,44,Ghatail,ঘাটাইল,0.0,0.0,ghatail.tangail.gov.bd
337,44,Gopalpur,গোপালপুর,25.30946375,87.20787305955696,gopalpur.tangail.gov.bd
338,44,Madhupur,মধুপুর,24.287867900000002,86.61050950020086,madhupur.tangail.gov.bd
339,44,Mirzapur,মির্জাপুর,24.9356347,82.64770129811649,mirzapur.tangail.gov.bd
340,44,Nagarpur,নাগরপুর,24.0532552,89.8739848,nagarpur.tangail.gov.bd
341,44,Sakhipur,সখিপুর,22.5669788,88.9745164,sakhipur.tangail.gov.bd
342,44,Tangail Sadar,টাঙ্গাইল সদর,24.251288549999998,89.91485937222222,tangailsadar.tangail.gov.bd
343,44,Kalihati,কালিহাতী,24.3992535,89.986435,kalihati.tangail.gov.bd
344,44,Dhanbari,ধনবাড়ী,24.6774082,89.951882,dhanbari.tangail.gov.bd
345,45,Itna,ইটনা,12.0095164,76.4077869,itna.kishoreganj.gov.bd
346,45,Katiadi,কটিয়াদী,24.2502962,90.7962218,katiadi.kishoreganj.gov.bd
347,45,Bhairab,ভৈরব,23.7128753,88.6125731,bhairab.kishoreganj.gov.bd
348,45,Tarail,তাড়াইল,24.54923,90.8912914,tarail.kishoreganj.gov.bd
349,45,Hossainpur,হোসেনপুর,24.4168657,90.6553734,hossainpur.kishoreganj.gov.bd
350,45,Pakundia,পাকুন্দিয়া,24.3287538,90.6805614,pakundia.kishoreganj.gov.bd
351,45,Kuliarchar,কুলিয়ারচর,24.1515066,90.9322312,kuliarchar.kishoreganj.gov.bd
352,45,Kishoreganj Sadar,কিশোরগঞ্জ সদর,24.3286901,90.6805477,kishoreganjsadar.kishoreganj.gov.bd
353,45,Karimgonj,করিমগঞ্জ,0.0,0.0,karimgonj.kishoreganj.gov.bd
354,45,Bajitpur,বাজিতপুর,24.2157623,90.9518114,bajitpur.kishoreganj.gov.bd
355,45,Austagram,অষ্টগ্রাম,24.2743376,91.104981,austagram.kishoreganj.gov.bd
356,45,Mithamoin,মিঠামইন,24.4149439,91.0602879,mithamoin.kishoreganj.gov.bd
357,45,Nikli,নিকলী,24.3303482,90.9374993,nikli.kishoreganj.gov.bd
358,46,Harirampur,হরিরামপুর,25.37881595,88.24944252597719,harirampur.manikganj.gov.bd
359,46,Saturia,সাটুরিয়া,41.2385223,-5.5681502,saturia.manikganj.gov.bd
360,46,Manikganj Sadar,মানিকগঞ্জ সদর,23.8706167,89.9986742,sadar.manikganj.gov.bd
361,46,Gior,ঘিওর,7.91667,33.75,gior.manikganj.gov.bd
362,46,Shibaloy,শিবালয়,22.5008241,88.3347262,shibaloy.manikganj.gov.bd
363,46,Doulatpur,দৌলতপুর,23.350765,91.1711196,doulatpur.manikganj.gov.bd
364,46,Singiar,সিংগাইর,0.0,0.0,singiar.manikganj.gov.bd
365,47,Savar,সাভার,44.0611754,15.0163744,savar.dhaka.gov.bd
366,47,Dhamrai,ধামরাই,23.920162,90.2108702,dhamrai.dhaka.gov.bd
367,47,Keraniganj,কেরাণীগঞ্জ,23.69818865,90.3505261296184,keraniganj.dhaka.gov.bd
368,47,Nawabganj,নবাবগঞ্জ,26.92228995,81.207643234204,nawabganj.dhaka.gov.bd
369,47,Dohar,দোহার,24.4589778,69.4891961,dohar.dhaka.gov.bd
